ConceptID,ConceptLabel,Dependencies,TaxonomyID
1,Visual Programming,,FOUND
2,Sprite,1,FOUND
3,Stage,1,FOUND
4,Blocks Palette,1,FOUND
5,Code Tab,1,FOUND
6,Costumes Tab,1,FOUND
7,Sounds Tab,1,FOUND
8,Toolbar,1,FOUND
9,Zoom Controls,1,FOUND
10,Scratch Account,,SCRATCH_ACC
11,Community Guidelines,10,SCRATCH_ACC
12,Studio,10,SCRATCH_ACC
13,Commenting,10,SCRATCH_ACC
14,Remixing,10,SCRATCH_ACC
15,Green Flag,2|3,EVENTS
16,Stop Sign,15,EVENTS
17,Saving Projects,10,FOUND
18,Sharing Projects,10|17,SCRATCH_ACC
19,Project Page,18,SCRATCH_ACC
20,File Menu,1,FOUND
21,Sequence,15,CONTROL
22,Step By Step Thinking,21,CONTROL
23,Motion Blocks,4|2,MOTION
24,Move Steps,23|30,MOTION
25,Turn Degrees,23|30,MOTION
26,Go To Position,23|28|29,MOTION
27,Glide To Position,23|28|29,MOTION
28,X Coordinate,3|30,MOTION
29,Y Coordinate,3|30,MOTION
30,Coordinate System,3,MOTION
31,Green Flag Event,15|75,EVENTS
32,Multiple Sprites,2,EVENTS
33,Looks Blocks,4|2,LOOKS
34,Say Block,33,LOOKS
35,Think Block,33,LOOKS
36,Switch Costume,33|6,LOOKS
37,Next Costume,33|6,LOOKS
38,Change Size,33,LOOKS
39,Costume Animation,37|45,LOOKS
40,Costume Center,6,LOOKS
41,Debugging Basics,42|43,DEBUGGING
42,Script Reading Order,21|31,DEBUGGING
43,Block Highlighting,,DEBUGGING
44,Error Detection,41|42,DEBUGGING
45,Forever Loop,203|21,CONTROL
46,Continuous Motion,45|24,CONTROL
47,Scrolling Background,45|85,CONTROL
48,Repeat Loop,203,CONTROL
49,Counted Repetition,48|117,CONTROL
50,Repeat Until Loop,203|52,CONTROL
51,Condition Controlled Loop,50|108,CONTROL
52,Boolean Introduction,108,CONTROL
53,Parallelism,32|31,CONTROL
54,Concurrent Scripts,53|94,CONTROL
55,Sound Blocks,4|7,SOUND
56,Play Sound,55,SOUND
57,Start Sound,55,SOUND
58,Change Tempo,55,SOUND
59,Beat Synchronization,45|56|58,SOUND
60,Lip Sync Animation,39|56|82,SOUND
61,Pen Extension,222|23,PEN
62,Drawing Trails,61|65,PEN
63,Rainbow Lines,61|67|48,PEN
64,Geometric Patterns,61|24|25|48,PEN
65,Pen Down,61,PEN
66,Pen Up,61,PEN
67,Pen Color,61,PEN
68,Pen Size,61,PEN
69,Clear Graphics,61,PEN
70,Stamp,61|39,PEN
71,Erase All,61,PEN
72,Loop Nesting,45|48,CONTROL
73,Infinite Loop Detection,45|41,DEBUGGING
74,Loop Termination,48|50|51,CONTROL
75,Event Blocks,4,EVENTS
76,Sprite Clicked Event,75|2,EVENTS
77,Key Pressed Event,75|204,EVENTS
78,Backdrop Switch Event,75|85,EVENTS
79,Broadcast Message,75,EVENTS
80,When I Receive,75|79,EVENTS
81,Sprite Communication,32|79,EVENTS
82,Broadcast And Wait,79|80,EVENTS
83,Scene Coordination,82|85,EVENTS
84,Dialogue Timing,82|34,EVENTS
85,Switch Backdrop,33,LOOKS
86,Next Backdrop,85,LOOKS
87,Storytelling Flow,83|84,EVENTS
88,Remix Exploration,14|19,SCRATCH_ACC
